subsystem	component	bundle_path	adapted_system_types	component_dependency_count	component_dependencies	third_party_dependency_count	third_party_dependencies	sub_component_target_count	sub_component_targets	inner_kit_count	test_entry_count	test_entries
distributedhardware	distributed_camera	foundation/distributedhardware/distributed_camera/bundle.json	standard	29	accessibility,ipc,init,eventhandler,camera_framework,graphic_surface,distributed_hardware_fwk,device_security_level,device_manager,hdf_core,drivers_interface_display,drivers_interface_distributed_camera,c_utils,cJSON,dsoftbus,ffrt,ffmpeg,hicollie,media_foundation,hisysevent,hilog,samgr,hitrace,safwk,drivers_interface_camera,access_token,av_codec,os_account,sensor	0		11	//foundation/distributedhardware/distributed_camera/common:distributed_camera_utils,//foundation/distributedhardware/distributed_camera/interfaces/inner_kits/native_cpp/camera_sink:distributed_camera_sink_sdk,//foundation/distributedhardware/distributed_camera/interfaces/inner_kits/native_cpp/camera_source:distributed_camera_source_sdk,//foundation/distributedhardware/distributed_camera/services/cameraservice/cameraoperator/client:distributed_camera_client,//foundation/distributedhardware/distributed_camera/services/cameraservice/cameraoperator/handler:distributed_camera_handler,//foundation/distributedhardware/distributed_camera/services/cameraservice/sinkservice:distributed_camera_sink,//foundation/distributedhardware/distributed_camera/services/cameraservice/sourceservice:distributed_camera_source,//foundation/distributedhardware/distributed_camera/services/data_process:distributed_camera_data_process,//foundation/distributedhardware/distributed_camera/sa_profile:dcamera_sa_profile,//foundation/distributedhardware/distributed_camera/sa_profile:dcamera.cfg,//foundation/distributedhardware/distributed_camera/services/channel:distributed_camera_channel	0	13	//foundation/distributedhardware/distributed_camera/common/test/unittest:common_utils_test,//foundation/distributedhardware/distributed_camera/services/cameraservice/cameraoperator/client/test/sample:dcamera_client_demo,//foundation/distributedhardware/distributed_camera/services/cameraservice/cameraoperator/client/test/unittest:camera_client_test,//foundation/distributedhardware/distributed_camera/services/cameraservice/cameraoperator/handler/test/unittest:camera_handler_test,//foundation/distributedhardware/distributed_camera/services/cameraservice/sinkservice/test/unittest:sink_service_test,//foundation/distributedhardware/distributed_camera/services/cameraservice/sourceservice/test/unittest:source_service_test,//foundation/distributedhardware/distributed_camera/services/cameraservice/base/test/unittest:services_base_test,//foundation/distributedhardware/distributed_camera/services/channel/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_camera/services/channel/test/unittest:camera_channel_test,//foundation/distributedhardware/distributed_camera/services/data_process/test/unittest:data_process_test,//foundation/distributedhardware/distributed_camera/interfaces/inner_kits/native_cpp/test/sinkfuzztest:fuzztest,//foundation/distributedhardware/distributed_camera/interfaces/inner_kits/native_cpp/test/sourcefuzztest:fuzztest,//foundation/distributedhardware/distributed_camera/interfaces/inner_kits/native_cpp/test/unittest:dcamera_handler_test
distributedhardware	distributed_hardware_fwk	foundation/distributedhardware/distributed_hardware_fwk/bundle.json	standard	34	ability_base,ability_runtime,access_token,av_codec,bundle_framework,napi,dsoftbus,eventhandler,hitrace,c_utils,hilog,cJSON,samgr,ipc,safwk,hisysevent,device_manager,config_policy,init,kv_store,resource_schedule_service,media_foundation,bounds_checking_function,openssl,ffmpeg,runtime_core,zlib,ffrt,libevdev,selinux_adapter,os_account,memmgr,graphic_surface,node	0		12	//foundation/distributedhardware/distributed_hardware_fwk/application:DHardware_UI,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/av_receiver:distributed_av_receiver,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/av_sender:distributed_av_sender,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_handler/histreamer_ability_querier:histreamer_ability_querier,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/framework:distributed_av_pipeline_fwk,//foundation/distributedhardware/distributed_hardware_fwk/interfaces/inner_kits:libdhfwk_sdk,//foundation/distributedhardware/distributed_hardware_fwk/interfaces/kits/napi:hardwaremanager,//foundation/distributedhardware/distributed_hardware_fwk/sa_profile:dhardware.cfg,//foundation/distributedhardware/distributed_hardware_fwk/sa_profile:dhfwk_sa_profile,//foundation/distributedhardware/distributed_hardware_fwk/services/distributedhardwarefwkservice:distributedhardwarefwksvr,//foundation/distributedhardware/distributed_hardware_fwk/utils:distributedhardwareutils,//foundation/distributedhardware/distributed_hardware_fwk/taihe:distributed_hardware_taihe	6	16	//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_handler/histreamer_ability_querier/test/unittest/common:histreamer_ability_querier_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_control_center/test/unittest:AvTransControlCenterTest,//foundation/distributedhardware/distributed_hardware_fwk/utils/test:utils_test,//foundation/distributedhardware/distributed_hardware_fwk/services/distributedhardwarefwkservice/test/unittest:test,//foundation/distributedhardware/distributed_hardware_fwk/interfaces/inner_kits/test/demo:DistributedHardwareFwkKitDemo,//foundation/distributedhardware/distributed_hardware_fwk/interfaces/inner_kits/test/unittest:kit_test,//foundation/distributedhardware/distributed_hardware_fwk/services/distributedhardwarefwkservice/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_hardware_fwk/interfaces/inner_kits/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/filters/test:filter_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/framework/filter/test:framework_filter_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/framework/pipeline/test:framework_pipeline_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/av_receiver/test/unittest:receiver_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/av_sender/test/unittest:sender_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_engine/plugin/test:plugin_test,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/av_trans_control_center/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_hardware_fwk/av_transport/common/test:av_common_test
distributedhardware	distributed_input	foundation/distributedhardware/distributed_input/bundle.json	standard	24	access_token,accessibility,device_manager,eventhandler,hilog,ipc,json,libevdev,safwk,samgr,dsoftbus,c_utils,distributed_hardware_fwk,config_policy,hicollie,hisysevent,hitrace,graphic_surface,window_manager,openssl,os_account,graphic_2d,cJSON,selinux_adapter	0		17	//foundation/distributedhardware/distributed_input/interfaces/inner_kits:libdinput_sdk,//foundation/distributedhardware/distributed_input/sa_profile:distributed_input_source_sa_profile,//foundation/distributedhardware/distributed_input/sa_profile:distributed_input_sink_sa_profile,//foundation/distributedhardware/distributed_input/sa_profile:dinput.cfg,//foundation/distributedhardware/distributed_input/services/source/sourcemanager:libdinput_source,//foundation/distributedhardware/distributed_input/services/source/transport:libdinput_source_trans,//foundation/distributedhardware/distributed_input/services/source/inputinject:libdinput_inject,//foundation/distributedhardware/distributed_input/services/sink/sinkmanager:libdinput_sink,//foundation/distributedhardware/distributed_input/services/sink/transport:libdinput_sink_trans,//foundation/distributedhardware/distributed_input/services/sink/inputcollector:libdinput_collector,//foundation/distributedhardware/distributed_input/services/transportbase:libdinput_trans_base,//foundation/distributedhardware/distributed_input/services/state:libdinput_sink_state,//foundation/distributedhardware/distributed_input/sourcehandler:libdinput_source_handler,//foundation/distributedhardware/distributed_input/sinkhandler:libdinput_sink_handler,//foundation/distributedhardware/distributed_input/inputdevicehandler:libdinput_handler,//foundation/distributedhardware/distributed_input/dfx_utils:libdinput_dfx_utils,//foundation/distributedhardware/distributed_input/utils:libdinput_utils	1	18	//foundation/distributedhardware/distributed_input/interfaces/inner_kits/test:test,//foundation/distributedhardware/distributed_input/sourcehandler/test:test,//foundation/distributedhardware/distributed_input/sinkhandler/test:test,//foundation/distributedhardware/distributed_input/test:test,//foundation/distributedhardware/distributed_input/services/sink/transport/test:test,//foundation/distributedhardware/distributed_input/services/sink/inputcollector/test:test,//foundation/distributedhardware/distributed_input/services/source/transport/test:test,//foundation/distributedhardware/distributed_input/common/include/test:test,//foundation/distributedhardware/distributed_input/services/source/inputinject/test:test,//foundation/distributedhardware/distributed_input/services/source/sourcemanager/test:test,//foundation/distributedhardware/distributed_input/services/sink/sinkmanager/test:test,//foundation/distributedhardware/distributed_input/services/transportbase/test:test,//foundation/distributedhardware/distributed_input/utils/test:test,//foundation/distributedhardware/distributed_input/dfx_utils/test:test,//foundation/distributedhardware/distributed_input/interfaces/ipc/test:test,//foundation/distributedhardware/distributed_input/interfaces/ipc/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_input/inputdevicehandler/test:test,//foundation/distributedhardware/distributed_input/services/state/test:test
distributedhardware	distributed_screen	foundation/distributedhardware/distributed_screen/bundle.json	standard	28	access_token,accessibility,av_codec,device_manager,dsoftbus,eventhandler,hisysevent,init,ipc,hilog,input,json,ffrt,graphic_2d,graphic_surface,media_foundation,os_account,samgr,safwk,selinux_adapter,hicollie,hitrace,cJSON,c_utils,window_manager,distributed_hardware_fwk,libjpeg-turbo,hdf_core	0		11	//foundation/distributedhardware/distributed_screen/common:distributed_screen_utils,//foundation/distributedhardware/distributed_screen/interfaces/innerkits/native_cpp/screen_sink:distributed_screen_sink_sdk,//foundation/distributedhardware/distributed_screen/interfaces/innerkits/native_cpp/screen_source:distributed_screen_source_sdk,//foundation/distributedhardware/distributed_screen/services/screenclient:distributed_screen_client,//foundation/distributedhardware/distributed_screen/screenhandler:distributed_screen_handler,//foundation/distributedhardware/distributed_screen/services/screentransport/screensinktrans:distributed_screen_sinktrans,//foundation/distributedhardware/distributed_screen/services/screentransport/screensourcetrans:distributed_screen_sourcetrans,//foundation/distributedhardware/distributed_screen/services/screenservice/sinkservice:distributed_screen_sink,//foundation/distributedhardware/distributed_screen/services/screenservice/sourceservice:distributed_screen_source,//foundation/distributedhardware/distributed_screen/sa_profile:dscreen_sa_profile,//foundation/distributedhardware/distributed_screen/sa_profile:dscreen.cfg	2	18	//foundation/distributedhardware/distributed_screen/services/screendemo:distributedScreenTest,//foundation/distributedhardware/distributed_screen/common/test/unittest:ScreenCommonTest,//foundation/distributedhardware/distributed_screen/screenhandler/test/unittest/screenhandler:DscreenHandlerTest,//foundation/distributedhardware/distributed_screen/services/screenservice/test/unittest/sinkservice/dscreenservice:DScreenSinkStubTest,//foundation/distributedhardware/distributed_screen/services/screenservice/test/unittest/sinkservice/screenregionmgr:DscreenRegionMgrTest,//foundation/distributedhardware/distributed_screen/services/screenservice/test/unittest/sourceservice/dscreenservice:DScreenSourceStubTest,//foundation/distributedhardware/distributed_screen/services/screenservice/test/unittest/sourceservice/dscreenmgr:DscreenMgrTest,//foundation/distributedhardware/distributed_screen/services/screentransport/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_screen/services/screentransport/test/unittest:screen_transport_test,//foundation/distributedhardware/distributed_screen/services/softbusadapter/test/unittest:SoftBusAdapterTest,//foundation/distributedhardware/distributed_screen/services/softbusadapter/test/unittest:SoftbusPermissionCheckTest,//foundation/distributedhardware/distributed_screen/services/common/test/unittest:service_common_test,//foundation/distributedhardware/distributed_screen/interfaces/innerkits/native_cpp/test/unittest:screen_interface_test,//foundation/distributedhardware/distributed_screen/services/screenclient/test/unittest:ScreenClientTest,//foundation/distributedhardware/distributed_screen/screenhandler/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_screen/services/softbusadapter/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_screen/interfaces/innerkits/native_cpp/test/fuzztest:fuzztest,//foundation/distributedhardware/distributed_screen/services/screenservice/test/fuzztest:fuzztest
distributedhardware	mechbody_controller	foundation/distributedhardware/mechbody_controller/bundle.json	standard	29	access_token,ability_base,bluetooth,camera_framework,cJSON,c_utils,eventhandler,graphic_surface,ffrt,hilog,init,ipc,napi,safwk,samgr,ability_runtime,input,window_manager,sensor,os_account,hisysevent,runtime_core,drivers_interface_camera,device_manager,selinux_adapter,distributed_notification_service,api_metrics,icu,i18n	0		5	//foundation/distributedhardware/mechbody_controller/services:mechbody_service,//foundation/distributedhardware/mechbody_controller/interface/ets/mech_manager:mechanic_manager_group_ani,//foundation/distributedhardware/mechbody_controller/interface/napi/mech_manager:mechanicmanager_napi,//foundation/distributedhardware/mechbody_controller/etc/init:etc,//foundation/distributedhardware/mechbody_controller/sa_profile:mechbody_sa_profile	0	2	//foundation/distributedhardware/mechbody_controller/test/fuzztest:fuzztest,//foundation/distributedhardware/mechbody_controller/test/unittest:unittest
filemanagement	app_file_service	foundation/filemanagement/app_file_service/bundle.json	small,standard	31	ability_base,ability_runtime,access_token,bundle_framework,common_event_service,cJSON,c_utils,data_share,device_manager,faultloggerd,file_api,hicollie,hitrace,hilog,hisysevent,ipc,init,json,jsoncpp,napi,relational_store,runtime_core,os_account,openssl,power_manager,safwk,samgr,storage_service,sandbox_manager,selinux_adapter,zlib	1	bounds_checking_function	0		10	4	//foundation/filemanagement/app_file_service/test/fuzztest:fuzztest,//foundation/filemanagement/app_file_service:file_share_tests,//foundation/filemanagement/app_file_service:backup_tests,//foundation/filemanagement/app_file_service/test/fuzztest/filesharecreatedeletefile_fuzzer:fuzztest
filemanagement	dfs_service	foundation/filemanagement/dfs_service/bundle.json	small,standard	46	ability_base,ability_runtime,access_token,app_file_service,api_metrics,battery_manager,bundle_framework,c_utils,cJSON,common_event_service,dataclassification,data_share,device_auth,device_info_manager,device_manager,distributed_notification_service,dsoftbus,e2fsprogs,eventhandler,ffrt,file_api,hicollie,hilog,hisysevent,hitrace,i18n,init,ipc,json,libuv,napi,preferences,memmgr,netmanager_base,relational_store,runtime_core,safwk,storage_service,samgr,selinux_adapter,thermal_manager,os_account,power_manager,libfuse,zlib,user_file_service	0		0		13	4	//foundation/filemanagement/dfs_service:dfs_test_moudule,//foundation/filemanagement/dfs_service:cloudsync_test_module,//foundation/filemanagement/dfs_service:distributedfile_test_module,//foundation/filemanagement/dfs_service/test/fuzztest:dfs_service_fuzztest
filemanagement	disk_manager	foundation/filemanagement/disk_manager/bundle.json	standard	22	ability_base,ability_runtime,access_token,bounds_checking_function,common_event_service,c_utils,dfs_service,file_api,hilog,hisysevent,hitrace,init,ipc,json,libuv,napi,node,runtime_core,safwk,samgr,security_guard,taihe_ffi_gen	0		0		1	1	//foundation/filemanagement/disk_manager:test
filemanagement	file_api	foundation/filemanagement/file_api/bundle.json	mini,small,standard	27	ability_base,ability_runtime,access_token,api_metrics,app_file_service,bounds_checking_function,bundle_framework,c_utils,common_event_service,data_share,dfs_service,eventhandler,hilog,hisysevent,hitrace,init,ipc,liburing,libuv,napi,node,openssl,os_account,runtime_core,rust_libc,samgr,zlib	0		0		14	2	//foundation/filemanagement/file_api/interfaces/test/unittest:file_api_unittest,//foundation/filemanagement/file_api/interfaces/test/fuzztest:file_api_fuzztest
filemanagement	filemanagement_cangjie_wrapper	foundation/filemanagement/filemanagement_cangjie_wrapper/bundle.json	standard	4	app_file_service,cangjie_ark_interop,hiviewdfx_cangjie_wrapper,file_api	0		4	//foundation/filemanagement/filemanagement_cangjie_wrapper/kit/CoreFileKit:kit.CoreFileKit,//foundation/filemanagement/filemanagement_cangjie_wrapper/ohos/file:ohos.file,//foundation/filemanagement/filemanagement_cangjie_wrapper/ohos/file/fileuri:ohos.file.fileuri,//foundation/filemanagement/filemanagement_cangjie_wrapper/ohos/file/fs:ohos.file.fs	2	0	
filemanagement	storage_service	foundation/filemanagement/storage_service/bundle.json	small,standard	55	ability_base,ability_runtime,access_token,app_file_service,appspawn,bounds_checking_function,bundle_framework,cJSON,c_utils,config_policy,common_event_service,crypto_framework,data_share,dfs_service,drivers_interface_huks,e2fsprogs,eventhandler,exfatprogs,FreeBSD,f2fs-tools,file_api,gptfdisk,hicollie,hilog,hisysevent,hitrace,huks,init,ipc,libfuse,libgphoto2,libmtp,libusb,libuv,media_library,napi,node,ntfs-3g,relational_store,safwk,samgr,screenlock_mgr,selinux_adapter,security_guard,tee_client,os_account,openssl,user_auth_framework,zlib,qos_manager,usb_manager,runtime_core,json,resource_schedule_service,disk_manager	0		0		4	5	//foundation/filemanagement/storage_service/services/storage_daemon:storage_daemon_unit_test,//foundation/filemanagement/storage_service/services/storage_manager:storage_manager_unit_test,//foundation/filemanagement/storage_service/test/fuzztest:storage_service_fuzztest,//foundation/filemanagement/storage_service/test/fuzztest/cjstoragestatusservice_fuzzer:fuzztest,//foundation/filemanagement/storage_service/test/fuzztest/storge_fuzzer:fuzztest
filemanagement	user_file_service	foundation/filemanagement/user_file_service/bundle.json	standard	31	ability_base,ability_runtime,ace_engine,app_file_service,bounds_checking_function,ets_frontend,ipc,init,samgr,safwk,napi,file_api,bundle_framework,hilog,hitrace,access_token,os_account,c_utils,cJSON,libuv,node,image_framework,common_event_service,udmf,selinux_adapter,window_manager,dfs_service,sandbox_manager,relational_store,runtime_core,taihe_ffi_gen	0		0		4	2	//foundation/filemanagement/user_file_service/test/unittest:user_file_service_unit_test,//foundation/filemanagement/user_file_service/test/fuzztest:user_file_service_fuzz_test
game	game_controller_framework	domains/game/game_controller_framework/bundle.json	standard	15	hilog,ipc,safwk,samgr,c_utils,common_event_service,ffrt,json,input,window_manager,eventhandler,init,access_token,bundle_framework,graphic_2d	0		1	//domains/game/game_controller_framework:game_controller_framework_packages	2	2	//domains/game/game_controller_framework/test/unittest:unittest,//domains/game/game_controller_framework/test/fuzztest:fuzztest
global	font_manager	base/global/font_manager/bundle.json	standard	22	ability_base,ability_runtime,access_token,common_event_service,bounds_checking_function,c_utils,cJSON,eventhandler,hilog,hisysevent,hitrace,init,libuv,ipc,napi,node,safwk,samgr,graphic_2d,runtime_core,os_account,storage_service	0		4	//base/global/font_manager/interfaces/ani:ani_package_font_manager,//base/global/font_manager/interfaces/js/kits:fontmanager,//base/global/font_manager/sa_profile:font_server_profile,//base/global/font_manager/service:font_service_ability	1	2	//base/global/font_manager/test/unittest:unittest,//base/global/font_manager/test/fuzztest:fuzztest
global	global_cangjie_wrapper	base/global/global_cangjie_wrapper/bundle.json	standard	6	cangjie_ark_interop,hiviewdfx_cangjie_wrapper,arkui_cangjie_wrapper,resource_management,ace_engine,i18n	0		2	//base/global/global_cangjie_wrapper/ohos:global_cangjie_wrapper_package,//base/global/global_cangjie_wrapper/kit/LocalizationKit:kit.LocalizationKit	6	0	
global	i18n	base/global/i18n/bundle.json	standard	31	ability_base,ability_runtime,access_token,bounds_checking_function,bundle_framework,cellular_data,common_event_service,config_policy,core_service,cJSON,c_utils,eventhandler,hilog,icu,init,ipc,jsoncpp,libphonenumber,libpng,libxml2,memmgr,napi,openssl,os_account,preferences,protobuf,resource_management,safwk,samgr,selinux_adapter,runtime_core	0		11	//base/global/i18n/frameworks/zone:zone_util,//base/global/i18n/frameworks/intl:build_module,//base/global/i18n/interfaces/js/innerkits/intl:build_module,//base/global/i18n/interfaces/js/kits:build_module,//base/global/i18n/interfaces/cj:build_module,//base/global/i18n/frameworks/intl:geocoding_depends,//base/global/i18n/ta:binary_files,//base/global/i18n/sa_profile:i18n_service_ability_profile,//base/global/i18n/services:i18n_service_ability,//base/global/i18n/interfaces/ets/ani:ani_package_i18n,//base/global/i18n/ndk:native_i18n	7	5	//base/global/i18n/frameworks/intl/test:intl_test,//base/global/i18n/frameworks/zone/test:zone_util_test,//base/global/i18n/frameworks/intl/test/fuzztest:fuzztest,//base/global/i18n/ndk/test:ndk_test,//base/global/i18n/services/test:i18n_service_test
global	i18n_lite	base/global/i18n_lite/bundle.json	mini,small	1	utils_lite	1	bounds_checking_function	3	//base/global/i18n_lite/frameworks/i18n:global_i18n,//base/global/i18n_lite/interfaces/kits:global_i18n_dat,//base/global/i18n_lite/interfaces/kits/js/builtin:nativeapi_locale_simulator	2	1	//base/global/i18n_lite/frameworks/i18n/test:I18nTest
global	resource_management	base/global/resource_management/bundle.json	standard	23	ability_base,ability_runtime,hilog,hisysevent,hitrace,napi,node,libuv,ace_engine,bundle_framework,common_event_service,c_utils,init,zlib,bounds_checking_function,icu,cJSON,graphic_2d,runtime_core,ipc,ets_runtime,ets_frontend,api_metrics	0		11	//base/global/resource_management/interfaces/js/kits:resourcemanager,//base/global/resource_management/interfaces/js/kits:sendableresourcemanager,//base/global/resource_management/interfaces/cj:cj_resource_manager_ffi,//base/global/resource_management/frameworks/resmgr:global_resmgr,//base/global/resource_management/frameworks/resmgr:librawfile,//base/global/resource_management/frameworks/resmgr:win_resmgr,//base/global/resource_management/frameworks/resmgr:linux_resmgr,//base/global/resource_management/frameworks/resmgr:mac_resmgr,//base/global/resource_management/frameworks/resmgr:ohresmgr,//base/global/resource_management/interfaces/ets/ani:ani_package_resmgr,//base/global/resource_management/interfaces/js/innerkits/core:resmgr_napi_core_preview	10	2	//base/global/resource_management/frameworks/resmgr/test:unittest,//base/global/resource_management/test/fuzztest:fuzztest
global	resource_management_lite	base/global/resource_management_lite/bundle.json	mini,small	2	utils_lite,bounds_checking_function	0		1	//base/global/resource_management_lite/frameworks/resmgr_lite:global_resmgr	1	1	//base/global/resource_management_lite/frameworks/resmgr_lite/test:unittest
global	system_resources	base/global/system_resources/bundle.json	standard	1	ets_frontend	0		2	//base/global/system_resources/systemres:systemres_hap,//base/global/system_resources:ohos_fonts	1	0	
global	timezone	base/global/timezone/bundle.json	standard	0		0		1	//base/global/timezone/data:icu_tzdata	0	0	
graphic	graphic_2d	foundation/graphic/graphic_2d/bundle.json	standard	61	window_manager,resource_management,api_metrics,napi,node,samgr,hdf_core,hilog,hisysevent,hitrace,ability_runtime,bundle_framework,drivers_interface_display,c_utils,access_token,safwk,eventhandler,config_policy,init,input,hicollie,image_framework,ipc,graphic_surface,graphics_effect,player_framework,resource_schedule_service,soc_perf,accessibility,frame_aware_sched,memmgr,sensor,qos_manager,video_processing_engine,bounds_checking_function,egl,opengles,vulkan-headers,vulkan-loader,cJSON,jsoncpp,openssl,zlib,libuv,icu,libpng,ffrt,libxml2,skia,vma,lz4,faultloggerd,freetype,rust_cxx,media_foundation,selinux_adapter,runtime_core,hiview,i18n,api_metrics,selinux_adapter	1	skia	0		33	13	//foundation/graphic/graphic_2d:graphic_common_test,//foundation/graphic/graphic_2d/frameworks/surfaceimage/test:test,//foundation/graphic/graphic_2d/rosen/modules/render_service_client:test,//foundation/graphic/graphic_2d/rosen/modules/ressched/test/unittest:unittest,//foundation/graphic/graphic_2d/rosen/test/2d_graphics:test,//foundation/graphic/graphic_2d/rosen/modules/animation/window_animation/test:test,//foundation/graphic/graphic_2d/rosen/modules/render_service_base/test:test,//foundation/graphic/graphic_2d/rosen/modules/safuzz:safuzztest,//foundation/graphic/graphic_2d/rosen/test/2d_graphics/drawing:drawing_demo,//foundation/graphic/graphic_2d/rosen/test/dtk:dtk,//foundation/graphic/graphic_2d/frameworks/text/test:text_test,//foundation/graphic/graphic_2d/rosen/test/frame_load:test,//foundation/graphic/graphic_2d/rosen/test/render_service:test
graphic	graphic_3d	foundation/graphic/graphic_3d/bundle.json	standard	31	c_utils,hilog,graphic_2d,graphic_surface,hitrace,icu,init,input,ipc,bounds_checking_function,resource_management,resource_schedule_service,napi,ability_runtime,bundle_framework,qos_manager,libpng,libjpeg-turbo,vulkan-loader,vulkan-headers,skia,freetype,zlib,runtime_core,meshoptimizer,api_metrics,egl,opengles,window_manager,form_fwk,ability_base	0		22	//foundation/graphic/graphic_3d/lume/LumeEngine:libAGPEngine,//foundation/graphic/graphic_3d/lume/LumeEngine/DLL:libAGPDLL,//foundation/graphic/graphic_3d/lume/LumeRender:libPluginAGPRender,//foundation/graphic/graphic_3d/lume/Lume_3D/DLL:libPluginAGP3D,//foundation/graphic/graphic_3d/lume/Lume_3D:libAGP3D,//foundation/graphic/graphic_3d/lume/LumePng:libPluginAGPPng,//foundation/graphic/graphic_3d/lume/LumeJpg:libPluginAGPJpg,//foundation/graphic/graphic_3d/3d_scene_adapter:scene_bridge_ani,//foundation/graphic/graphic_3d/3d_widget_adapter:lib3dWidgetAdapter,//foundation/graphic/graphic_3d/lume/LumeBinaryCompile/LumeShaderCompiler:binary_compile_shader,//foundation/graphic/graphic_3d/lume/LumeBinaryCompile/lumeassetcompiler:binary_compile_asset,//foundation/graphic/graphic_3d/lume/LumeEngine/ecshelper:libAGPEcshelper,//foundation/graphic/graphic_3d/lume/LumeMeta:libPluginMetaObject,//foundation/graphic/graphic_3d/lume/LumeScene:libPluginLumeSceneImporter,//foundation/graphic/graphic_3d/lume/LumeScene:libPluginLumeSceneMetadataImporter,//foundation/graphic/graphic_3d/lume/LumeScene:libPluginSceneWidget,//foundation/graphic/graphic_3d/kits/js:libscene,//foundation/graphic/graphic_3d/kits/ets:graphics_3d_taihe,//foundation/graphic/graphic_3d/camera_preview_plugin:libPluginCamPreview,//foundation/graphic/graphic_3d/lume/LumeDotfield:libPluginDotfield,//foundation/graphic/graphic_3d/lume/LumeBoidsSwarm:libPluginBoidsSwarm,//foundation/graphic/graphic_3d/lume/LumeMRT:libPluginMRT	9	17	//foundation/graphic/graphic_3d/3d_widget_adapter/test:unittest,//foundation/graphic/graphic_3d/lume/LumeBase/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumePng/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeJpg/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeDotfield/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeBoidsSwarm/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeEngine/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeRender/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/Lume_3D/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeMeta/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/LumeScene/test/unittest:unittest,//foundation/graphic/graphic_3d/lume/Lume_3D/test/fuzztest/gltf2loader_fuzzer:fuzztest,//foundation/graphic/graphic_3d/lume/LumeEngine/test/fuzztest/json_fuzzer:fuzztest,//foundation/graphic/graphic_3d/lume/LumeEngine/test/fuzztest/image_loader_fuzzer:fuzztest,//foundation/graphic/graphic_3d/lume/LumeScene/test/fuzztest/gltf_load_fuzzer:fuzztest,//foundation/graphic/graphic_3d/lume/LumeScene/test/fuzztest/json_parse_fuzzer:fuzztest,//foundation/graphic/graphic_3d/lume/LumeScene/test/fuzztest/property_path_fuzzer:fuzztest
graphic	graphic_cangjie_wrapper	foundation/graphic/graphic_cangjie_wrapper/bundle.json	standard	3	cangjie_ark_interop,graphic_2d,hiviewdfx_cangjie_wrapper	0		3	//foundation/graphic/graphic_cangjie_wrapper/kit/ArkGraphics2D:kit.ArkGraphics2D,//foundation/graphic/graphic_cangjie_wrapper/ohos/graphics:ohos.graphics,//foundation/graphic/graphic_cangjie_wrapper/ohos/graphics/color_space_manager:ohos.graphics.color_space_manager	3	0	
graphic	graphic_surface	foundation/graphic/graphic_surface/bundle.json	standard	15	access_token,bounds_checking_function,cJSON,c_utils,config_policy,drivers_interface_display,eventhandler,hicollie,hilog,hitrace,hisysevent,init,ipc,samgr,selinux_adapter	0		7	//foundation/graphic/graphic_surface/surface:surface,//foundation/graphic/graphic_surface/sync_fence:sync_fence,//foundation/graphic/graphic_surface/buffer_handle:buffer_handle,//foundation/graphic/graphic_surface/utils/frame_report:frame_report,//foundation/graphic/graphic_surface/utils/hebc_white_list:hebc_white_list,//foundation/graphic/graphic_surface/surface:surface_static,//foundation/graphic/graphic_surface/sync_fence:sync_fence_static	7	6	//foundation/graphic/graphic_surface/surface/test:test,//foundation/graphic/graphic_surface/buffer_handle/test:test,//foundation/graphic/graphic_surface/sync_fence/test:test,//foundation/graphic/graphic_surface/utils/frame_report/test:test,//foundation/graphic/graphic_surface/utils/hebc_white_list/test:test,//foundation/graphic/graphic_surface/utils/rs_frame_report_ext/test:test
